Date of Sale (dd/mm/yyyy),Sale Year,Sale Month,is_apartment,location,Description of Property,Not Full Market Price,Price_Adjusted_VAT_Clamped,vat_adjusted_flag
2016-02-25,2016,2,0,Tipperary,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-12-22,2016,12,0,Galway,Second-Hand Dwelling house /Apartment,No,217000.0,0
2016-05-06,2016,5,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,295000.0,0
2016-02-19,2016,2,0,Dublin 12,Second-Hand Dwelling house /Apartment,No,323000.0,0
2016-07-20,2016,7,0,Dublin 16,New Dwelling house /Apartment,No,408600.0,1
2016-10-28,2016,10,0,Dublin 22,Second-Hand Dwelling house /Apartment,No,202000.0,0
2016-11-29,2016,11,0,Galway,New Dwelling house /Apartment,No,109999.66,1
2016-11-23,2016,11,0,Cork,Second-Hand Dwelling house /Apartment,No,220000.0,0
2016-08-04,2016,8,0,Galway,Second-Hand Dwelling house /Apartment,Yes,105000.0,0
2016-08-31,2016,8,0,Kildare,New Dwelling house /Apartment,No,394999.97599999997,1
2016-04-20,2016,4,0,Leitrim,Second-Hand Dwelling house /Apartment,No,95000.0,0
2016-03-22,2016,3,0,Waterford,Second-Hand Dwelling house /Apartment,No,77000.0,0
2016-09-05,2016,9,0,Meath,New Dwelling house /Apartment,No,272400.0,1
2016-09-05,2016,9,0,Dublin 7,Second-Hand Dwelling house /Apartment,No,325000.0,0
2016-10-11,2016,10,0,Galway,Second-Hand Dwelling house /Apartment,No,373000.0,0
2016-02-11,2016,2,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,196000.0,0
2016-11-18,2016,11,0,Waterford,Second-Hand Dwelling house /Apartment,No,160000.0,0
2016-12-15,2016,12,0,Meath,New Dwelling house /Apartment,No,279499.9925,1
2016-06-30,2016,6,0,Cork,Second-Hand Dwelling house /Apartment,No,660000.0,0
2016-11-08,2016,11,0,Dublin 6W,Second-Hand Dwelling house /Apartment,No,580000.0,0
2016-06-29,2016,6,0,Cork,Second-Hand Dwelling house /Apartment,No,96250.0,0
2016-02-12,2016,2,0,Cavan,Second-Hand Dwelling house /Apartment,No,160000.0,0
2016-12-14,2016,12,0,Kildare,New Dwelling house /Apartment,No,442366.25,1
2016-07-08,2016,7,0,Cork,Second-Hand Dwelling house /Apartment,No,170000.0,0
2016-02-03,2016,2,0,Kildare,New Dwelling house /Apartment,No,182899.575,1
2016-12-13,2016,12,0,Galway,New Dwelling house /Apartment,No,189828.75,1
2016-04-08,2016,4,0,Kildare,Second-Hand Dwelling house /Apartment,No,250000.0,0
2016-10-04,2016,10,0,Kerry,New Dwelling house /Apartment,No,250352.625,1
2016-06-09,2016,6,0,Cork,Second-Hand Dwelling house /Apartment,No,167500.0,0
2016-11-25,2016,11,0,Kilkenny,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-09-16,2016,9,0,Galway,Second-Hand Dwelling house /Apartment,No,165000.0,0
2016-11-15,2016,11,0,Westmeath,Second-Hand Dwelling house /Apartment,No,127000.0,0
2016-12-17,2016,12,0,Kerry,Second-Hand Dwelling house /Apartment,Yes,205000.0,0
2016-02-23,2016,2,0,Roscommon,Second-Hand Dwelling house /Apartment,No,79000.0,0
2016-04-29,2016,4,0,Dublin 1,Second-Hand Dwelling house /Apartment,No,407000.0,0
2016-05-17,2016,5,0,Cavan,Second-Hand Dwelling house /Apartment,No,190000.0,0
2016-10-28,2016,10,0,Carlow,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-12-21,2016,12,0,Dublin 14,Second-Hand Dwelling house /Apartment,No,400000.0,0
2016-08-12,2016,8,0,Tipperary,Second-Hand Dwelling house /Apartment,No,210000.0,0
2016-04-19,2016,4,0,Monaghan,Second-Hand Dwelling house /Apartment,No,90000.0,0
2016-06-17,2016,6,1,Dublin 13,New Dwelling house /Apartment,No,220999.99275,1
2016-09-15,2016,9,0,Wexford,Second-Hand Dwelling house /Apartment,No,125000.0,0
2016-01-24,2016,1,0,Cork,Second-Hand Dwelling house /Apartment,No,204000.0,0
2016-11-28,2016,11,0,Dublin 11,Second-Hand Dwelling house /Apartment,No,375000.0,0
2016-06-22,2016,6,0,Dublin 9,Second-Hand Dwelling house /Apartment,No,280000.0,0
2016-07-11,2016,7,0,Laois,Second-Hand Dwelling house /Apartment,No,75000.0,0
2016-06-08,2016,6,0,Wicklow,Second-Hand Dwelling house /Apartment,No,125000.0,0
2016-01-20,2016,1,0,Cork,Second-Hand Dwelling house /Apartment,No,79000.0,0
2016-11-17,2016,11,0,Dublin 18,Second-Hand Dwelling house /Apartment,No,610000.0,0
2016-08-30,2016,8,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,220000.0,0
2016-04-26,2016,4,0,Wexford,Second-Hand Dwelling house /Apartment,No,409500.0,0
2016-04-04,2016,4,0,Wicklow,Second-Hand Dwelling house /Apartment,No,255000.0,0
