Price (€),Not Full Market Price,VAT Exclusive,Description of Property,is_apartment,Sale Year,Sale Month,location,vat_adjusted_flag,Price_Log
202000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Dublin_22,0,12.216027926866138
96916.0,No,Yes,New Dwelling house /Apartment,0,2016,11,Galway,1,11.608241644756554
220000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Cork,0,12.301387370778713
105000.0,Yes,No,Second-Hand Dwelling house /Apartment,0,2016,8,Galway,0,11.561725152903833
348017.6,No,Yes,New Dwelling house /Apartment,0,2016,8,Kildare,1,12.886643514766282
95000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Leitrim,0,11.461642696843066
77000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,3,Waterford,0,11.251573687764477
240000.0,No,Yes,New Dwelling house /Apartment,0,2016,9,Meath,1,12.51503052432271
325000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Dublin_7,0,12.691583538230217
373000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Galway,0,12.829336379587506
196000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Dublin_15,0,12.185875040240456
160000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Waterford,0,11.982935344196433
246255.5,No,Yes,New Dwelling house /Apartment,0,2016,12,Meath,1,12.540761122554885
660000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Cork,0,13.399996629152975
580000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Dublin_6W,0,13.270785106659046
96250.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Cork,0,11.474714641706449
160000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Cavan,0,11.982935344196433
389750.0,No,Yes,New Dwelling house /Apartment,0,2016,12,Kildare,1,12.999895698421119
170000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Cork,0,12.04355959836804
161145.0,No,Yes,New Dwelling house /Apartment,0,2016,2,Kildare,1,12.116697978168439
167250.0,No,Yes,New Dwelling house /Apartment,0,2016,12,Galway,1,12.153882896815906
250000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Kildare,0,12.429220196836383
220575.0,No,Yes,New Dwelling house /Apartment,0,2016,10,Kerry,1,12.43062969738164
167500.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Cork,0,12.02874460037869
33000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Kilkenny,0,11.002116507732017
165000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Galway,0,12.013706813470414
127000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Westmeath,0,11.751950239425476
205000.0,Yes,No,Second-Hand Dwelling house /Apartment,0,2016,12,Kerry,0,12.230770136157428
79000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,2,Roscommon,0,11.277215789596893
407000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Dublin_1,0,12.91657092142417
190000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,5,Cavan,0,12.154784614286667
60000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,10,Carlow,0,11.002116507732017
400000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,12,Dublin_14,0,12.899222326086994
210000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,8,Tipperary,0,12.25486757159303
90000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,4,Monaghan,0,11.407576060361786
194713.65,No,Yes,New Dwelling house /Apartment,1,2016,6,Dublin_13,1,12.305922472571249
125000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,9,Wexford,0,11.736077016252437
204000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Cork,0,12.225880174775122
375000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,11,Dublin_11,0,12.834683971615659
280000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Dublin_9,0,12.54254845357358
75000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,7,Laois,0,11.225256725762893
125000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,6,Wicklow,0,11.736077016252437
79000.0,No,No,Second-Hand Dwelling house /Apartment,0,2016,1,Cork,0,11.277215789596893
